:ID,:LABEL,ticker,cik,name,text,objective_type,status,risk_category
Company:AAPL,Company,AAPL,320193,Apple Inc.,,,,
Mission:AAPL:mission,Mission,,,,(the “sec”).,,,
StrategicObjective:AAPL:the-company-is-focused-on-expanding-its-market-opportunities,StrategicObjective,,,,"The Company is focused on expanding its market opportunities related to smartphones, personal computers, tablets, wearables and accessories, and services.",growth,,
StrategicObjective:AAPL:2024-form-10-k-2-the-company-s-ability-to-compete-successful,StrategicObjective,,,,"| 2024 Form 10-K | 2
The Company’s ability to compete successfully depends heavily on ensuring the continuing and timely introduction of innovative new products, services and technologies to the marketplace.",innovation,,
StrategicObjective:AAPL:many-of-the-company-s-competitors-seek-to-compete-primarily-,StrategicObjective,,,,"Many of the Company’s competitors seek to compete primarily through aggressive pricing and very low cost structures, and by imitating the Company’s products and infringing on its intellectual property.",cost_leadership,,
StrategicObjective:AAPL:this-includes-press-releases-and-other-information-about-fin,StrategicObjective,,,,"This includes press releases and other information about financial performance, information on environmental, social and governance matters, and details related to the Company’s annual meeting of shareholders.",sustainability,,
Capability:AAPL:cloud,Capability,,,cloud,,,,
Capability:AAPL:manufacturing,Capability,,,manufacturing,,,,
Capability:AAPL:research-and-development,Capability,,,research and development,,,,
Initiative:AAPL:apple-authorized-service-network-for-repair-and-replacement-,Initiative,,,Apple authorized service network for repair and replacement service,,,active,
Initiative:AAPL:digital-content-the-company-operates-various-platform,Initiative,,,"Digital Content
The Company operates various platform",,,active,
Initiative:AAPL:payment-services-the-company-offers-payment-service,Initiative,,,"Payment Services
The Company offers payment service",,,active,
RiskTheme:AAPL:economic,RiskTheme,,,economic,,,,macro
RiskTheme:AAPL:government,RiskTheme,,,government,,,,regulatory
RiskTheme:AAPL:competi,RiskTheme,,,competi,,,,competitive
RiskTheme:AAPL:inventory,RiskTheme,,,inventory,,,,supply_chain
RiskTheme:AAPL:cybersecurity,RiskTheme,,,cybersecurity,,,,technology
Company:AMD,Company,AMD,2488,Advanced Micro Devices,,,,
Mission:AMD:mission,Mission,,,,(sec) reports and filings.,,,
StrategicObjective:AMD:the-second-is-expanding-the-deep-and-collaborative-partnersh,StrategicObjective,,,,The second is expanding the deep and collaborative partnerships we have established across the ecosystem to accelerate deployments of AMD based AI solutions at scale.,growth,,
StrategicObjective:AMD:we-drive-innovation-through-high-performance-and-adaptive-co,StrategicObjective,,,,"We drive innovation through high-performance and adaptive computing technology, software and product leadership.",innovation,,
StrategicObjective:AMD:government-regulations-our-global-operations-are-subject-to-,StrategicObjective,,,,"Government Regulations
Our global operations are subject to various United States and foreign laws and regulations, including, but not limited to, those relating to export control, customs, intellectual property, data privacy and security, climate, environmental, health and safety requirements, cybersecurity, tax, employment, competition and anti-trust, anti-corruption, anti-bribery, conflict minerals, corporate governance, financial and other disclosures, and AI.",sustainability,,
Capability:AMD:cloud,Capability,,,cloud,,,,
Capability:AMD:artificial-intelligence,Capability,,,artificial intelligence,,,,
Capability:AMD:manufacturing,Capability,,,manufacturing,,,,
Capability:AMD:research-and-development,Capability,,,research and development,,,,
