:START_ID,:END_ID,:TYPE
Company:AAPL,Mission:AAPL:mission,hasMission
Company:AAPL,StrategicObjective:AAPL:the-company-is-focused-on-expanding-its-market-opportunities,statesObjective
Company:AAPL,StrategicObjective:AAPL:2024-form-10-k-2-the-company-s-ability-to-compete-successful,statesObjective
Company:AAPL,StrategicObjective:AAPL:many-of-the-company-s-competitors-seek-to-compete-primarily-,statesObjective
Company:AAPL,StrategicObjective:AAPL:this-includes-press-releases-and-other-information-about-fin,statesObjective
Company:AAPL,Capability:AAPL:cloud,buildsCapability
Capability:AAPL:cloud,StrategicObjective:AAPL:the-company-is-focused-on-expanding-its-market-opportunities,supportsObjective
Company:AAPL,Capability:AAPL:manufacturing,buildsCapability
Capability:AAPL:manufacturing,StrategicObjective:AAPL:the-company-is-focused-on-expanding-its-market-opportunities,supportsObjective
Company:AAPL,Capability:AAPL:research-and-development,buildsCapability
Capability:AAPL:research-and-development,StrategicObjective:AAPL:the-company-is-focused-on-expanding-its-market-opportunities,supportsObjective
Company:AAPL,Initiative:AAPL:apple-authorized-service-network-for-repair-and-replacement-,pursues
Initiative:AAPL:apple-authorized-service-network-for-repair-and-replacement-,Capability:AAPL:cloud,initiativeEnables
Company:AAPL,Initiative:AAPL:digital-content-the-company-operates-various-platform,pursues
Initiative:AAPL:digital-content-the-company-operates-various-platform,Capability:AAPL:cloud,initiativeEnables
Company:AAPL,Initiative:AAPL:payment-services-the-company-offers-payment-service,pursues
Initiative:AAPL:payment-services-the-company-offers-payment-service,Capability:AAPL:cloud,initiativeEnables
Company:AAPL,RiskTheme:AAPL:economic,exposedTo
Company:AAPL,RiskTheme:AAPL:government,exposedTo
Company:AAPL,RiskTheme:AAPL:competi,exposedTo
Company:AAPL,RiskTheme:AAPL:inventory,exposedTo
Company:AAPL,RiskTheme:AAPL:cybersecurity,exposedTo
Company:AMD,Mission:AMD:mission,hasMission
Company:AMD,StrategicObjective:AMD:the-second-is-expanding-the-deep-and-collaborative-partnersh,statesObjective
Company:AMD,StrategicObjective:AMD:we-drive-innovation-through-high-performance-and-adaptive-co,statesObjective
Company:AMD,StrategicObjective:AMD:government-regulations-our-global-operations-are-subject-to-,statesObjective
Company:AMD,Capability:AMD:cloud,buildsCapability
Capability:AMD:cloud,StrategicObjective:AMD:the-second-is-expanding-the-deep-and-collaborative-partnersh,supportsObjective
Company:AMD,Capability:AMD:artificial-intelligence,buildsCapability
Capability:AMD:artificial-intelligence,StrategicObjective:AMD:the-second-is-expanding-the-deep-and-collaborative-partnersh,supportsObjective
Company:AMD,Capability:AMD:manufacturing,buildsCapability
Capability:AMD:manufacturing,StrategicObjective:AMD:the-second-is-expanding-the-deep-and-collaborative-partnersh,supportsObjective
Company:AMD,Capability:AMD:research-and-development,buildsCapability
Capability:AMD:research-and-development,StrategicObjective:AMD:the-second-is-expanding-the-deep-and-collaborative-partnersh,supportsObjective
Company:AMD,Initiative:AMD:ryzen-9000-series-processors-featuring-zen-5-cores,pursues
Initiative:AMD:ryzen-9000-series-processors-featuring-zen-5-cores,Capability:AMD:cloud,initiativeEnables
Company:AMD,Initiative:AMD:amd-ryzen-ai-pro-300-series,pursues
Initiative:AMD:amd-ryzen-ai-pro-300-series,Capability:AMD:cloud,initiativeEnables
Company:AMD,Initiative:AMD:soc-products-and-development-service,pursues
Initiative:AMD:soc-products-and-development-service,Capability:AMD:cloud,initiativeEnables
Company:AMD,RiskTheme:AMD:regulat,exposedTo
Company:AMD,RiskTheme:AMD:competi,exposedTo
Company:AMD,RiskTheme:AMD:inventory,exposedTo
Company:AMD,RiskTheme:AMD:cybersecurity,exposedTo
Company:AMD,RiskTheme:AMD:workforce,exposedTo
Company:TGT,Mission:TGT:mission,hasMission
Company:TGT,StrategicObjective:TGT:our-strategy-aims-to-expand-target-s-relevancy-in-consumers-,statesObjective
Company:TGT,StrategicObjective:TGT:technology-a-connected-ecosystem-of-data-insights-and-techno,statesObjective
Company:TGT,StrategicObjective:TGT:sustainability-resiliency-in-our-business-model,statesObjective
Company:TGT,Capability:TGT:supply-chain,buildsCapability
Capability:TGT:supply-chain,StrategicObjective:TGT:our-strategy-aims-to-expand-target-s-relevancy-in-consumers-,supportsObjective
Company:TGT,Capability:TGT:cloud,buildsCapability
Capability:TGT:cloud,StrategicObjective:TGT:our-strategy-aims-to-expand-target-s-relevancy-in-consumers-,supportsObjective
Company:TGT,Capability:TGT:artificial-intelligence,buildsCapability
Capability:TGT:artificial-intelligence,StrategicObjective:TGT:our-strategy-aims-to-expand-target-s-relevancy-in-consumers-,supportsObjective
Company:TGT,Initiative:TGT:target-circle-card-program,pursues
Initiative:TGT:target-circle-card-program,Capability:TGT:supply-chain,initiativeEnables
Company:TGT,RiskTheme:TGT:compliance,exposedTo
Company:TGT,RiskTheme:TGT:competi,exposedTo
Company:TGT,RiskTheme:TGT:supply-chain,exposedTo
Company:TGT,RiskTheme:TGT:cybersecurity,exposedTo
Company:TGT,RiskTheme:TGT:workforce,exposedTo
Company:WMT,Mission:WMT:mission,hasMission
Company:WMT,StrategicObjective:WMT:in-2018-we-expanded-our-ecommerce-and-digital-presence-throu,statesObjective
Company:WMT,StrategicObjective:WMT:through-innovation-we-strive-to-continuously-improve-a-custo,statesObjective
Company:WMT,StrategicObjective:WMT:everyday-low-cost-edlc-is-our-commitment-to-control-expenses,statesObjective
Company:WMT,StrategicObjective:WMT:these-forward-looking-statements-may-relate-to-macroeconomic,statesObjective
Company:WMT,Capability:WMT:supply-chain,buildsCapability
Capability:WMT:supply-chain,StrategicObjective:WMT:in-2018-we-expanded-our-ecommerce-and-digital-presence-throu,supportsObjective
Company:WMT,Capability:WMT:logistics,buildsCapability
Capability:WMT:logistics,StrategicObjective:WMT:in-2018-we-expanded-our-ecommerce-and-digital-presence-throu,supportsObjective
Company:WMT,Capability:WMT:digital-platform,buildsCapability
Capability:WMT:digital-platform,StrategicObjective:WMT:in-2018-we-expanded-our-ecommerce-and-digital-presence-throu,supportsObjective
Company:WMT,Capability:WMT:artificial-intelligence,buildsCapability
Capability:WMT:artificial-intelligence,StrategicObjective:WMT:in-2018-we-expanded-our-ecommerce-and-digital-presence-throu,supportsObjective
Company:WMT,Capability:WMT:data-analytics,buildsCapability
Capability:WMT:data-analytics,StrategicObjective:WMT:in-2018-we-expanded-our-ecommerce-and-digital-presence-throu,supportsObjective
Company:WMT,Initiative:WMT:commerce-initiative,pursues
Initiative:WMT:commerce-initiative,Capability:WMT:supply-chain,initiativeEnables
Company:WMT,Initiative:WMT:store-service,pursues
Initiative:WMT:store-service,Capability:WMT:supply-chain,initiativeEnables
